Ward name,Old code,New code,percent_with_households_owned,population_density_persons_per_sq_km,general_fertility_rate,employment_rate,crime_rate,average_public_transport_accessibility_score,average_gcse_capped_point_scores
City of London,00AA,E09000001,42.3,"2,538",38.4,79.6,656.4,7.9,355
Barking and Dagenham - Abbey,00ABFX,E05000026,32.7,"10,500",97.6,60.3,138.1,6.0,318
Barking and Dagenham - Alibon,00ABFY,E05000027,45.1,"7,429",83.3,63.1,73.6,3.1,307
Barking and Dagenham - Becontree,00ABFZ,E05000028,46.7,"9,269",101.1,61.2,79.9,2.9,295
Barking and Dagenham - Chadwell Heath,00ABGA,E05000029,54.0,"2,985",73.6,63.6,76.1,2.3,293
Barking and Dagenham - Eastbrook,00ABGB,E05000030,67.6,"3,029",73.2,68.2,66.7,2.3,306
Barking and Dagenham - Eastbury,00ABGC,E05000031,44.0,"8,357",87.6,61.5,82.2,2.7,316
Barking and Dagenham - Gascoigne,00ABGD,E05000032,23.7,"12,773",92.9,56.4,75.8,3.2,301
Barking and Dagenham - Goresbrook,00ABGE,E05000033,43.1,"8,692",86.2,63.6,74.8,2.5,302
Barking and Dagenham - Heath,00ABGF,E05000034,41.6,"5,475",88.4,61.4,83.7,2.7,297
Barking and Dagenham - Longbridge,00ABGG,E05000035,70.0,"7,281",81.1,65.2,57.0,3.1,338
Barking and Dagenham - Mayesbrook,00ABGH,E05000036,43.8,"5,474",90.2,61.9,67.9,2.5,305
Barking and Dagenham - Parsloes,00ABGJ,E05000037,47.2,"8,250",76.9,61.5,56.8,2.7,312
Barking and Dagenham - River,00ABGK,E05000038,51.9,"3,167",83.1,64.2,85.0,3.0,300
Barking and Dagenham - Thames,00ABGL,E05000039,35.4,"1,867",62.9,60.5,95.6,2.1,307
Barking and Dagenham - Valence,00ABGM,E05000040,47.3,"7,692",91.7,63.1,68.3,3.2,303
Barking and Dagenham - Village,00ABGN,E05000041,40.3,"5,167",92.0,61.7,90.8,2.7,302
Barking and Dagenham - Whalebone,00ABGP,E05000042,63.7,"6,781",84.8,67.5,72.4,2.9,311
Barnet - Brunswick Park,00ACFX,E05000043,75.4,"5,219",51.0,71.4,49.4,2.9,339
Barnet - Burnt Oak,00ACFY,E05000044,38.0,"8,857",74.3,63.7,68.5,3.6,314
Barnet - Childs Hill,00ACFZ,E05000045,45.0,"6,516",59.6,67.9,90.5,4.5,336
Barnet - Colindale,00ACGA,E05000046,36.3,"8,250",66.5,61.9,58.9,2.5,308
Barnet - Coppetts,00ACGB,E05000047,56.8,"6,426",56.6,71.5,75.6,2.9,343
Barnet - East Barnet,00ACGC,E05000048,67.9,"4,303",65.2,71.5,44.0,2.8,337
Barnet - East Finchley,00ACGD,E05000049,50.2,"6,440",64.3,74.9,47.5,2.6,350
Barnet - Edgware,00ACGE,E05000050,60.4,"3,018",72.7,69.0,71.4,3.0,327
Barnet - Finchley Church End,00ACGF,E05000051,62.3,"5,926",56.9,72.6,52.0,2.9,361
Barnet - Garden Suburb,00ACGG,E05000052,66.1,"3,436",50.6,73.1,65.1,2.7,369
Barnet - Golders Green,00ACGH,E05000053,49.4,"7,150",63.2,66.7,61.3,3.4,342
Barnet - Hale,00ACGJ,E05000054,66.9,"3,250",71.1,70.7,46.8,2.6,326
Barnet - Hendon,00ACGK,E05000055,49.0,"6,625",76.1,66.7,72.6,2.7,353
Barnet - High Barnet,00ACGL,E05000056,69.9,"1,874",60.3,74.5,56.3,2.7,353
Barnet - Mill Hill,00ACGM,E05000057,64.4,"2,011",59.3,70.5,62.8,2.3,353
Barnet - Oakleigh,00ACGN,E05000058,70.6,"4,833",59.7,73.4,49.7,3.3,347
Barnet - Totteridge,00ACGP,E05000059,66.8,"1,796",60.9,71.6,39.7,2.5,369
Barnet - Underhill,00ACGQ,E05000060,60.3,"3,554",55.9,68.3,57.9,2.6,320
Barnet - West Finchley,00ACGR,E05000061,53.8,"7,591",59.5,74.2,55.2,3.6,369
Barnet - West Hendon,00ACGS,E05000062,48.3,"5,279",64.9,67.2,99.9,3.5,340
Barnet - Woodhouse,00ACGT,E05000063,57.6,"6,846",50.5,72.0,69.3,2.9,357
Bexley - Barnehurst,00ADGA,E05000064,80.0,"3,672",70.3,75.8,46.5,3.1,326
Bexley - Belvedere,00ADGB,E05000065,63.6,"3,828",70.6,70.4,62.0,2.8,306
Bexley - Blackfen and Lamorbey,00ADGC,E05000066,86.7,"6,353",55.5,77.3,28.8,2.1,333
Bexley - Blendon and Penhill,00ADGD,E05000067,88.5,"5,286",57.6,78.2,37.7,2.1,340
Bexley - Brampton,00ADGE,E05000068,88.9,"5,350",54.4,76.6,26.3,2.7,325
Bexley - Christchurch,00ADGF,E05000069,80.7,"4,500",62.3,77.0,97.5,3.4,343
Bexley - Colyers,00ADGG,E05000070,61.5,"7,094",60.0,70.2,39.5,2.0,298
Bexley - Crayford,00ADGH,E05000071,65.6,"2,925",69.6,73.2,62.2,2.1,301
Bexley - Cray Meadows,00ADGJ,E05000072,65.7,"1,583",70.0,71.4,54.3,2.3,325
Bexley - Danson Park,00ADGK,E05000073,77.9,"4,093",55.8,75.0,54.0,2.9,337
Bexley - East Wickham,00ADGL,E05000074,76.5,"5,023",51.9,73.5,40.5,2.5,332
Bexley - Erith,00ADGM,E05000075,55.1,"2,615",74.6,67.6,82.3,2.6,312
